File; Upper Left X; Upper Left Y; Lower Right X; Lower Right Y
Yotsubato_v01_042.jpg;236;658;322;818
Yotsubato_v01_042.jpg;246;369;392;623
Yotsubato_v01_042.jpg;350;656;480;919
Yotsubato_v01_042.jpg;771;23;918;299
Yotsubato_v01_042.jpg;805;655;949;962
Yotsubato_v01_056.jpg;105;590;189;760
Yotsubato_v01_056.jpg;156;501;249;688
Yotsubato_v01_056.jpg;699;28;931;402
Yotsubato_v01_056.jpg;813;884;920;1175
Yotsubato_v01_060.jpg;108;745;259;930
Yotsubato_v01_060.jpg;532;61;689;339
Yotsubato_v01_060.jpg;656;33;853;400
Yotsubato_v01_061.jpg;277;412;351;574
Yotsubato_v01_061.jpg;3;769;207;1381
Yotsubato_v01_061.jpg;69;420;177;678
Yotsubato_v01_061.jpg;699;777;874;1290
Yotsubato_v01_062.jpg;308;995;421;1207
Yotsubato_v01_063.jpg;364;74;493;261
Yotsubato_v01_063.jpg;375;398;533;676
Yotsubato_v01_063.jpg;550;625;644;725
Yotsubato_v01_063.jpg;568;450;662;541
Yotsubato_v01_063.jpg;595;951;856;1389
Yotsubato_v01_063.jpg;708;73;805;180
Yotsubato_v01_063.jpg;715;407;806;501
Yotsubato_v01_064.jpg;114;1101;230;1297
Yotsubato_v01_064.jpg;125;666;250;897
Yotsubato_v01_064.jpg;407;980;539;1211
Yotsubato_v01_064.jpg;424;667;538;875
Yotsubato_v01_064.jpg;627;722;726;950
Yotsubato_v01_064.jpg;817;664;897;801
Yotsubato_v01_067.jpg;131;888;249;1088
Yotsubato_v01_067.jpg;341;307;443;531
Yotsubato_v01_067.jpg;394;595;486;783
Yotsubato_v01_068.jpg;522;904;582;1042
Yotsubato_v01_068.jpg;599;887;661;1029
Yotsubato_v01_069.jpg;115;498;210;595
Yotsubato_v01_074.jpg;401;68;519;287
Yotsubato_v01_074.jpg;534;573;658;786
Yotsubato_v01_074.jpg;639;60;779;364
Yotsubato_v01_074.jpg;763;575;955;889
Yotsubato_v01_074.jpg;789;41;913;319
Yotsubato_v01_080.jpg;576;954;728;1216
Yotsubato_v01_081.jpg;340;961;484;1202
Yotsubato_v01_081.jpg;394;477;508;687
Yotsubato_v01_081.jpg;404;73;563;374
Yotsubato_v01_081.jpg;706;57;847;313
Yotsubato_v01_082.jpg;456;1062;636;1284
Yotsubato_v01_084.jpg;158;521;324;818
Yotsubato_v01_084.jpg;298;1020;389;1208
Yotsubato_v01_084.jpg;537;1020;713;1348
Yotsubato_v01_085.jpg;241;426;366;707
Yotsubato_v01_085.jpg;35;425;157;648
Yotsubato_v01_085.jpg;434;977;554;1165
Yotsubato_v01_085.jpg;591;422;801;781
Yotsubato_v01_085.jpg;754;939;856;1094
Yotsubato_v01_090.jpg;457;1069;623;1275
Yotsubato_v01_091.jpg;11;843;197;1145
Yotsubato_v01_091.jpg;261;616;423;894
Yotsubato_v01_091.jpg;384;67;513;278
Yotsubato_v01_091.jpg;423;999;578;1342
Yotsubato_v01_091.jpg;697;615;869;986
Yotsubato_v01_091.jpg;727;47;868;413
Yotsubato_v01_091.jpg;84;148;213;352
Yotsubato_v01_094.jpg;506;1027;612;1284
Yotsubato_v01_094.jpg;716;30;931;445
Yotsubato_v01_094.jpg;791;946;899;1173
Yotsubato_v01_101.jpg;307;930;422;1150
Yotsubato_v01_101.jpg;422;932;572;1246
Yotsubato_v01_101.jpg;684;929;789;1138
Yotsubato_v01_101.jpg;69;482;200;657
Yotsubato_v01_102.jpg;110;254;208;460
Yotsubato_v01_102.jpg;380;29;491;233
Yotsubato_v01_102.jpg;447;498;628;830
Yotsubato_v01_102.jpg;476;907;580;1209
Yotsubato_v01_102.jpg;579;1036;728;1340
Yotsubato_v01_102.jpg;603;28;913;292
Yotsubato_v01_102.jpg;774;499;936;800
Yotsubato_v01_102.jpg;784;905;908;1129
Yotsubato_v01_102.jpg;82;907;245;1229
Yotsubato_v01_102.jpg;94;500;250;799
Yotsubato_v01_108.jpg;176;632;304;897
Yotsubato_v01_108.jpg;292;116;437;429
Yotsubato_v01_108.jpg;393;637;498;763
Yotsubato_v01_108.jpg;442;0;622;474
Yotsubato_v01_108.jpg;619;103;762;307
Yotsubato_v01_108.jpg;768;634;901;906
Yotsubato_v01_108.jpg;779;66;947;462
Yotsubato_v01_109.jpg;263;107;432;365
Yotsubato_v01_109.jpg;369;882;530;1139
Yotsubato_v01_109.jpg;37;884;206;1273
Yotsubato_v01_109.jpg;385;564;495;734
Yotsubato_v01_109.jpg;429;14;596;402
Yotsubato_v01_109.jpg;504;546;614;769
Yotsubato_v01_109.jpg;591;0;771;303
Yotsubato_v01_109.jpg;734;880;852;1146
Yotsubato_v01_109.jpg;751;542;843;658
Yotsubato_v01_109.jpg;86;563;219;776
Yotsubato_v01_109.jpg;91;47;217;227
Yotsubato_v01_113.jpg;0;238;173;516
Yotsubato_v01_113.jpg;160;997;316;1246
Yotsubato_v01_113.jpg;26;42;174;277
Yotsubato_v01_113.jpg;463;42;606;379
Yotsubato_v01_113.jpg;531;580;622;662
Yotsubato_v01_113.jpg;636;524;846;963
Yotsubato_v01_114.jpg;227;45;335;283
Yotsubato_v01_114.jpg;403;811;577;1121
Yotsubato_v01_114.jpg;415;52;593;381
Yotsubato_v01_114.jpg;729;800;884;1207
Yotsubato_v01_114.jpg;779;51;897;390
Yotsubato_v01_123.jpg;185;206;330;422
Yotsubato_v01_123.jpg;291;58;398;267
Yotsubato_v01_123.jpg;299;427;430;649
Yotsubato_v01_123.jpg;359;925;553;1204
Yotsubato_v01_123.jpg;431;108;568;358
Yotsubato_v01_123.jpg;67;930;234;1149
Yotsubato_v01_123.jpg;753;51;851;167
Yotsubato_v01_131.jpg;150;445;325;793
Yotsubato_v01_131.jpg;27;918;137;1134
Yotsubato_v01_131.jpg;345;851;468;1207
Yotsubato_v01_131.jpg;346;142;506;440
Yotsubato_v01_131.jpg;44;4;232;342
Yotsubato_v01_131.jpg;647;444;892;1020
Yotsubato_v01_131.jpg;677;27;889;436
Yotsubato_v01_140.jpg;164;535;280;743
Yotsubato_v01_140.jpg;223;866;396;1115
Yotsubato_v01_140.jpg;686;527;912;755
Yotsubato_v01_141.jpg;210;0;496;371
Yotsubato_v01_141.jpg;328;902;504;1207
Yotsubato_v01_141.jpg;657;97;847;353
Yotsubato_v01_141.jpg;709;902;859;1205
Yotsubato_v01_145.jpg;20;724;149;1018
Yotsubato_v01_145.jpg;2;133;183;579
Yotsubato_v01_145.jpg;301;649;420;907
Yotsubato_v01_145.jpg;420;652;522;862
Yotsubato_v01_145.jpg;42;1085;209;1347
Yotsubato_v01_145.jpg;445;86;560;286
Yotsubato_v01_145.jpg;620;652;716;859
Yotsubato_v01_145.jpg;675;1032;824;1328
Yotsubato_v01_145.jpg;722;651;866;924
Yotsubato_v01_153.jpg;208;887;319;1146
Yotsubato_v01_153.jpg;490;190;579;357
Yotsubato_v01_153.jpg;492;570;611;702
Yotsubato_v01_153.jpg;554;602;674;772
Yotsubato_v01_155.jpg;100;723;206;934
Yotsubato_v01_155.jpg;251;594;352;779
Yotsubato_v01_155.jpg;338;997;427;1299
Yotsubato_v01_155.jpg;426;1042;525;1299
Yotsubato_v01_155.jpg;503;948;599;1143
Yotsubato_v01_155.jpg;516;124;628;312
Yotsubato_v01_155.jpg;531;609;647;808
Yotsubato_v01_155.jpg;595;46;740;263
Yotsubato_v01_155.jpg;765;949;855;1149
Yotsubato_v01_159.jpg;443;486;546;680
Yotsubato_v01_159.jpg;74;621;220;875
Yotsubato_v01_160.jpg;104;1054;201;1306
Yotsubato_v01_160.jpg;256;888;375;1108
Yotsubato_v01_160.jpg;511;889;623;1052
Yotsubato_v01_160.jpg;762;889;882;1096
Yotsubato_v01_161.jpg;101;76;209;270
Yotsubato_v01_161.jpg;270;488;392;665
Yotsubato_v01_161.jpg;331;996;455;1173
Yotsubato_v01_161.jpg;38;191;135;360
Yotsubato_v01_161.jpg;390;489;513;648
Yotsubato_v01_161.jpg;565;826;711;1093
Yotsubato_v01_161.jpg;733;826;857;1068
Yotsubato_v01_162.jpg;252;811;384;998
Yotsubato_v01_162.jpg;406;799;573;1046
Yotsubato_v01_162.jpg;480;67;597;269
Yotsubato_v01_162.jpg;761;46;903;259
Yotsubato_v01_163.jpg;378;74;507;295
Yotsubato_v01_163.jpg;59;134;172;361
Yotsubato_v01_163.jpg;650;862;873;1191
Yotsubato_v01_165.jpg;524;482;622;688
Yotsubato_v01_165.jpg;561;950;732;1260
Yotsubato_v01_166-167.jpg;1052;1024;1236;1382
Yotsubato_v01_166-167.jpg;1452;828;1574;1148
Yotsubato_v01_166-167.jpg;482;830;636;1126
Yotsubato_v01_166-167.jpg;68;1054;232;1370
Yotsubato_v01_178.jpg;514;314;650;563
Yotsubato_v01_178.jpg;524;180;629;310
Yotsubato_v01_182.jpg;761;40;914;302
Yotsubato_v01_185.jpg;44;630;158;800
Yotsubato_v01_185.jpg;52;1117;151;1246
Yotsubato_v01_185.jpg;92;897;165;982
Yotsubato_v01_188.jpg;141;606;299;785
Yotsubato_v01_189.jpg;255;119;381;310
Yotsubato_v01_189.jpg;283;569;405;786
Yotsubato_v01_189.jpg;37;21;218;442
Yotsubato_v01_189.jpg;466;650;581;810
Yotsubato_v01_189.jpg;4;842;311;1363
Yotsubato_v01_189.jpg;484;45;634;301
Yotsubato_v01_189.jpg;531;487;657;643
Yotsubato_v01_189.jpg;635;53;735;251
Yotsubato_v01_202.jpg;408;420;537;593
Yotsubato_v01_202.jpg;427;53;559;273
Yotsubato_v01_202.jpg;599;92;714;197
Yotsubato_v01_202.jpg;758;711;960;1225
Yotsubato_v01_202.jpg;807;415;907;664
Yotsubato_v01_203.jpg;340;437;491;658
Yotsubato_v01_203.jpg;424;1068;543;1299
Yotsubato_v01_203.jpg;476;779;638;1003
Yotsubato_v01_203.jpg;659;439;822;712
Yotsubato_v01_203.jpg;67;441;210;741
Yotsubato_v01_203.jpg;6;774;402;1119
Yotsubato_v01_203.jpg;698;780;864;951
Yotsubato_v01_203.jpg;70;77;169;271
Yotsubato_v01_211.jpg;0;450;191;720
Yotsubato_v01_211.jpg;194;459;406;765
Yotsubato_v01_211.jpg;21;980;133;1141
Yotsubato_v01_211.jpg;349;909;437;1049
Yotsubato_v01_211.jpg;362;89;509;300
Yotsubato_v01_211.jpg;393;457;568;689
Yotsubato_v01_211.jpg;568;1059;675;1162
Yotsubato_v01_211.jpg;676;906;836;1115
Yotsubato_v01_211.jpg;710;458;857;757
Yotsubato_v01_211.jpg;90;909;205;1076
Yotsubato_v01_218.jpg;593;391;790;673
Yotsubato_v01_218.jpg;822;40;961;310
Yotsubato_v01_218.jpg;96;1005;274;1336
Yotsubato_v01_220.jpg;72;918;332;1379
Yotsubato_v01_220.jpg;747;920;956;1378
Yotsubato_v01_223.jpg;299;937;435;1268
Yotsubato_v01_223.jpg;58;968;155;1130
Yotsubato_v01_223.jpg;751;937;869;1154
